,City,Country,Latitude,Longitude,Cloudiness,Date,Humidity,Max Temp,Wind Speed
0,Kapaa,US,22.08,-159.32,90,1551737304,53,73.4,17.22
1,Puerto Ayora,EC,-0.74,-90.35,75,1551736800,74,82.4,11.41
2,Punta Arenas,CL,-53.16,-70.91,40,1551737612,91,50.0,26.4
3,Chokurdakh,RU,70.62,147.9,48,1551737961,60,-20.76,3.15
4,Okahandja,NA,-21.98,16.91,76,1551736827,22,80.6,3.36
5,Necochea,AR,-38.55,-58.74,68,1551737890,56,73.0,3.0
6,Thompson,CA,55.74,-97.86,75,1551733200,59,3.2,14.99
7,Tiksi,RU,71.64,128.87,0,1551737962,60,-13.15,7.96
8,Talnakh,RU,69.49,88.39,88,1551737962,87,24.47,14.45
9,Bonthe,SL,7.53,-12.5,0,1551737963,70,80.41,4.94
10,Bavaniste,RS,44.82,20.87,0,1551735000,37,59.0,6.93
11,Brenes,ES,37.55,-5.87,75,1551737943,82,62.6,9.17
12,Hami,CN,42.84,93.51,44,1551737964,47,30.64,4.72
13,Vila Velha,BR,-3.71,-38.6,40,1551737894,83,81.0,5.82
14,Vaini,IN,15.34,74.49,0,1551737964,86,59.8,2.48
15,Smithers,CA,54.78,-127.17,5,1551733200,43,15.8,2.24
16,Ushuaia,AR,-54.81,-68.31,75,1551736800,50,55.4,12.75
17,Karpathos,GR,35.51,27.21,56,1551734400,54,53.6,10.29
18,Acapulco,MX,16.86,-99.88,40,1551735960,70,84.2,10.29
19,Krabi,TH,8.06,98.92,20,1551735000,88,75.2,3.36
20,Busselton,AU,-33.64,115.35,0,1551737712,50,64.0,27.76
21,Kanniyakumari,IN,8.08,77.57,12,1551737967,100,82.3,2.82
22,Kodiak,US,39.95,-94.76,1,1551737916,56,17.01,13.87
23,Tuktoyaktuk,CA,69.44,-133.03,5,1551735420,92,10.4,9.17
24,Cape Town,ZA,-33.93,18.42,0,1551737769,82,66.0,12.75
25,Tashtagol,RU,52.76,87.85,44,1551737967,66,16.73,2.48
26,Yellowknife,CA,62.45,-114.38,20,1551737755,66,12.0,14.99
27,Mantua,IT,45.16,10.79,5,1551737945,93,52.0,8.05
28,Rikitea,PF,-23.12,-134.97,32,1551737968,98,80.77,15.46
29,Kahului,US,20.89,-156.47,40,1551737796,53,75.2,19.46
30,Jamestown,AU,-33.21,138.6,64,1551737884,89,64.25,3.04
31,Atuona,PF,-9.8,-139.03,20,1551737969,100,81.62,15.01
32,Berberati,CF,4.26,15.79,20,1551737970,93,71.59,6.51
33,Hay River,CA,60.82,-115.79,40,1551733200,66,10.4,16.11
34,Albany,US,42.65,-73.75,20,1551737901,49,30.2,20.8
35,Wexford,US,40.63,-80.06,40,1551737945,44,25.0,13.87
36,Kavaratti,IN,10.57,72.64,0,1551737970,100,81.4,10.31
37,Hilo,US,19.71,-155.08,90,1551737701,60,73.99,11.41
38,Kawalu,ID,-7.38,108.21,64,1551737971,91,67.63,2.37
39,Aklavik,CA,68.22,-135.01,5,1551733200,68,24.8,5.82
40,Hithadhoo,MV,-0.6,73.08,92,1551737972,100,83.65,6.06
41,East London,ZA,-33.02,27.91,32,1551737870,100,73.84,17.81
42,Hobart,AU,-42.88,147.33,75,1551737955,87,63.0,9.17
43,Bredasdorp,ZA,-34.53,20.04,24,1551737794,68,66.2,3.36
44,Ingham,AU,-18.65,146.16,88,1551737644,100,75.46,13.44
45,Takoradi,GH,4.89,-1.75,20,1551737831,98,82.97,6.96
46,Saskylakh,RU,71.97,114.09,20,1551737974,38,-25.62,4.94
47,Tura,IN,25.52,90.21,100,1551737975,93,58.63,2.71
48,Sampit,ID,-2.54,112.95,80,1551737428,95,75.46,4.61
49,Saint-Philippe,CA,45.36,-73.48,1,1551737952,45,23.0,21.92
50,Hambantota,LK,6.12,81.12,20,1551733800,100,77.0,3.6
51,Bambous Virieux,MU,-20.34,57.76,40,1551737945,78,80.6,6.93
52,Port Hedland,AU,-20.31,118.58,12,1551735000,49,89.6,10.29
53,Sorland,NO,67.67,12.69,40,1551732600,57,19.4,12.75
54,Pathein,MM,16.78,94.73,0,1551737873,89,63.62,3.15
55,Eureka,US,40.8,-124.16,1,1551737404,100,57.99,10.29
56,Amahai,ID,-3.31,129.0,12,1551737838,88,82.0,7.63
57,Mataura,NZ,-46.19,168.86,44,1551737977,66,71.18,15.12
58,Upernavik,GL,72.79,-56.15,88,1551737978,100,8.05,4.61
59,Husavik,CA,50.56,-96.99,64,1551737406,75,12.99,17.0
60,Ishim,RU,56.11,69.47,80,1551737978,86,17.32,13.44
61,Songkhla,TH,7.2,100.6,20,1551735000,94,68.0,6.4
62,Loksa,EE,59.58,25.72,90,1551737824,92,28.99,12.75
63,Ishigaki,JP,24.34,124.16,75,1551733200,72,64.4,12.75
64,Belton,US,31.06,-97.46,90,1551737972,82,36.0,14.99
65,Morondava,MG,-20.3,44.28,44,1551737980,98,80.41,3.15
66,Lubango,AO,-14.92,13.49,44,1551737980,86,66.55,2.82
67,Port Elizabeth,US,39.31,-74.98,20,1551737909,43,39.2,16.11
68,New Norfolk,AU,-42.78,147.06,75,1551737839,87,63.0,9.17
69,Nanortalik,GL,60.14,-45.24,0,1551737981,100,26.41,7.63
70,Teguise,ES,29.06,-13.56,75,1551736800,72,64.4,12.75
71,Uarini,BR,-2.98,-65.16,20,1551736800,74,86.0,3.36
72,Ponta do Sol,BR,-20.63,-46.0,92,1551737982,84,70.87,4.38
73,Clyde River,CA,70.47,-68.59,75,1551736800,84,-2.21,2.37
74,Carnarvon,ZA,-30.97,22.13,0,1551737983,47,67.58,11.32
75,Port Blair,IN,11.67,92.75,36,1551737983,100,80.86,7.18
76,Padang,ID,-0.92,100.36,40,1551735000,94,78.8,4.7
77,Weatherford,US,32.76,-97.8,90,1551737765,45,34.0,9.17
78,Victoria,BN,5.28,115.24,75,1551735000,94,78.8,2.71
79,Betare Oya,CM,5.6,14.08,44,1551737985,96,66.19,2.37
80,Burla,RU,53.34,78.33,32,1551737985,88,24.65,17.58
81,Lebu,ET,8.96,38.73,24,1551737985,87,52.1,2.48
82,Novikovo,UA,45.05,34.56,20,1551737986,100,29.29,6.73
83,Sabha,LY,27.03,14.43,0,1551737986,44,52.24,6.96
84,Chase,US,43.89,-85.64,90,1551737912,60,8.6,9.17
85,Hasaki,JP,35.73,140.83,75,1551737976,86,41.0,5.82
86,Lorengau,PG,-2.02,147.27,12,1551737987,100,78.83,5.61
87,Abaza,RU,52.65,90.1,12,1551737987,59,11.2,0.92
88,Osakarovka,KZ,50.56,72.58,0,1551737988,83,14.62,14.45
89,Manaus,BR,-3.13,-59.98,20,1551736800,62,87.8,6.93
90,Mednogorsk,RU,51.41,57.59,88,1551737988,91,21.23,5.84
91,Namatanai,PG,-3.66,152.44,88,1551737989,100,82.52,8.97
92,Norman Wells,CA,65.28,-126.83,90,1551733200,85,21.2,3.36
93,Zhicheng,CN,35.04,112.59,80,1551737990,81,43.33,3.38
94,Yar-Sale,RU,66.83,70.83,80,1551737990,83,4.85,14.67
95,Komsomolskiy,RU,67.55,63.78,44,1551737990,70,-6.58,7.4
96,Qaanaaq,GL,77.48,-69.36,0,1551737930,92,-8.2,7.4
97,Parabel,RU,58.71,81.5,88,1551737991,92,31.63,6.73
98,Pisco,PE,-13.71,-76.2,0,1551736800,30,71.6,17.22
99,Hermanus,ZA,-34.42,19.24,88,1551737874,88,63.0,3.6
100,Iskilip,TR,40.73,34.47,0,1551737992,74,20.92,0.58
101,Stokmarknes,NO,68.56,14.91,20,1551737795,62,19.4,12.75
102,Awbari,LY,26.59,12.77,0,1551737992,48,52.15,6.29
103,Kumbhraj,IN,24.44,77.0,0,1551737993,64,55.93,6.4
104,Yatou,CM,3.63,9.81,75,1551736800,88,80.6,4.7
105,Georgetown,GY,6.8,-58.16,75,1551736800,88,77.0,6.93
106,Kerman,IR,30.29,57.06,0,1551733200,35,42.8,6.93
107,Emba,CY,34.81,32.42,40,1551737880,87,50.0,9.17
108,Mar del Plata,AR,-46.43,-67.52,24,1551737935,37,64.88,25.86
109,Muros,ES,42.77,-9.06,20,1551738005,93,52.0,8.05
110,Butaritari,KI,3.07,172.79,68,1551738017,100,82.43,19.04
111,Tasiilaq,GL,65.61,-37.64,8,1551738017,100,6.38,7.18
112,Zlate Hory,CZ,50.26,17.4,44,1551738002,50,48.0,5.01
113,Arraial do Cabo,BR,-22.97,-42.02,40,1551733200,78,82.4,8.05
114,Ketchikan,US,55.34,-131.65,1,1551736560,38,42.8,6.93
115,Provideniya,RU,64.42,-173.23,90,1551735000,86,30.2,4.47
116,Dakar,SN,14.69,-17.45,0,1551735000,52,69.8,20.8
117,Pontianak,ID,-0.02,109.34,92,1551738019,100,75.64,4.38
118,Yumen,CN,40.29,97.04,8,1551738019,70,24.02,9.98
119,Chuy,UY,-33.69,-53.46,88,1551738019,61,84.91,10.98
120,Haines Junction,CA,60.75,-137.51,24,1551738019,79,9.98,2.71
121,Dhidhdhoo,MV,6.88,73.1,68,1551737819,98,83.78,6.62
122,Nikolskoye,RU,59.7,30.79,75,1551737734,86,28.4,4.47
123,Bluff,AU,-23.58,149.07,0,1551738020,69,70.51,12.21
124,Seoul,KR,37.57,126.98,90,1551736200,86,42.8,1.12
125,Grafton,AU,-29.69,152.93,90,1551737607,94,68.0,1.12
126,Khatanga,RU,71.98,102.47,88,1551738021,82,3.05,12.66
127,Port Lincoln,AU,-34.72,135.86,80,1551738021,100,61.1,6.17
128,Strangnas,SE,59.38,17.03,92,1551737961,86,34.0,16.11
129,Digby,CA,44.62,-65.76,80,1551737872,96,26.01,13.0
130,Ostrovnoy,RU,68.05,39.51,0,1551738022,80,0.4,13.67
131,Castro,CL,-42.48,-73.76,75,1551736800,71,55.4,10.29
132,Tuatapere,NZ,-46.13,167.69,12,1551738023,78,66.28,17.25
133,Mirnyy,RU,56.57,36.46,44,1551738023,92,34.37,11.43
134,Avarua,CK,-21.21,-159.78,100,1551735000,58,82.4,10.29
135,Quelimane,MZ,-17.88,36.89,75,1551736800,88,77.0,6.93
136,Cherskiy,RU,68.75,161.3,64,1551738024,66,2.42,9.31
137,Ames,US,42.03,-93.62,1,1551737793,65,12.0,20.8
